,id_str,id,screen_name,domain,state
2824,741255625427017728,741255625427017728,DJforKY,1,Kentucky
2825,2285881101,2285881101,WillCoursey,1,Kentucky
2826,1244141732,1244141732,ToddHollenbach,1,Kentucky
2827,87318833,87318833,UKCRs,1,Kentucky
2828,472213440,472213440,mattCastlenKY,1,Kentucky
2829,1007985687474434050,1007985687474434050,VoteKYSenDems,1,Kentucky
2830,4655867488,4655867488,RickGirdler4KY,1,Kentucky
2831,708356111041208321,708356111041208321,RepDonohue,1,Kentucky
2832,558930286,558930286,HeartofKYGOP,1,Kentucky
2833,1093438099,1093438099,LynnBechler,1,Kentucky
2834,3355741211,3355741211,RickNelsonKY,1,Kentucky
2835,183363160,183363160,williamsfarmer,1,Kentucky
2836,720769105347760128,720769105347760128,SteveDettelbach,1,Ohio
2837,70281915,70281915,KYcollegeDems,1,Kentucky
2838,968617467785474048,968617467785474048,DorseyRidley,1,Kentucky
2839,1085248153081864192,1085248153081864192,repgrahamky,1,Kentucky
2840,1066071309501808643,1066071309501808643,SteveSheldonKY,1,Kentucky
2841,962001616521003013,962001616521003013,goforthforky,1,Kentucky
2842,606961216,606961216,WKUgop,1,Kentucky
2843,2209500158,2209500158,ACLUKYED,1,To Be Added
2844,211664149,211664149,BillJohnsonKY,1,Kentucky
2845,940699286936965121,940699286936965121,DruenforClerk,1,Kentucky
2846,782984445422952449,782984445422952449,LWVLouisville,1,Kentucky
2847,237771783,237771783,2011KYSOTC,1,Kentucky
2848,2331014414,2331014414,RepRandyBridges,1,Kentucky
2849,114770749,114770749,Wicker4Congress,1,Kentucky
2850,1209417007,1209417007,SteveScalise,1,Louisiana
2851,17078632,17078632,BobbyJindal,1,Louisiana
2852,239949176,239949176,RepKarenBass,1,California
2853,188000721,188000721,MitchLandrieu,1,Louisiana
2854,166374616,166374616,LouisianaGov,1,Louisiana
2855,55677432,55677432,BillCassidy,1,Louisiana
2856,267854863,267854863,RepRichmond,1,Louisiana
2857,2962891515,2962891515,RepAbraham,1,Louisiana
2858,316781372,316781372,ElbertGuillory,1,Louisiana
2859,413466731,413466731,SenLandrieu,1,Louisiana
2860,278192411,278192411,HollyJMitchell,1,California
2861,1017500185356853248,1017500185356853248,SenBillCassidy,1,Louisiana
2862,59869729,59869729,LaDemos,1,Louisiana
2863,2951574214,2951574214,RepGarretGraves,1,Louisiana
2864,538185166,538185166,SaxbyChambliss,1,Louisiana
2865,843636970538618880,843636970538618880,RepClayHiggins,1,Louisiana
2866,26594419,26594419,JohnKennedyLA,1,Louisiana
2867,142419647,142419647,CedricRichmond,1,Louisiana
2868,235258843,235258843,JeffLandry,1,Louisiana
2869,969301009171349504,969301009171349504,JimFrancisLA01,1,Louisiana
2870,2543008999,2543008999,DocAbraham,1,Louisiana
2871,587100576,587100576,garretgraves,1,Louisiana
2872,2330547362,2330547362,LouisianaHouse,1,Louisiana
2873,63981430,63981430,NancyLandry,1,Louisiana
2874,993925975103754241,993925975103754241,tammyforla,1,Louisiana
2875,1370698717,1370698717,nickmelvoin,1,California
2876,623968625,623968625,KBennettCARES,1,Georgia
2877,251172213,251172213,ConradAppel,1,Louisiana
2878,549664988,549664988,LenarWhitney,1,Louisiana
2879,105247544,105247544,LouisianaYRs,1,Louisiana
2880,334156412,334156412,ChuckKleckley,1,Louisiana
2881,1042665090,1042665090,JohnSchroderLA,1,Louisiana
2882,233997284,233997284,RepPearson,1,Louisiana
2883,1450468057,1450468057,pettigrew_e,1,Washington
2884,109552764,109552764,LandryForLA,1,Louisiana
2885,939963705978249217,939963705978249217,MitranoForNY23,1,New York
2886,3219372900,3219372900,SupriyaJindal,1,Louisiana
2887,886286615156596738,886286615156596738,AngeleDavis4LA,1,Louisiana
2888,66507980,66507980,melancon2010,1,Louisiana
2889,317433873,317433873,YDLouisiana,1,Louisiana
2890,28731208,28731208,Dude4Liberty,1,Michigan
2891,334155020,334155020,MikeWalsworth,1,Louisiana
2892,4849654052,4849654052,MikeJohnson,1,Louisiana
2893,597720351,597720351,GeraldLong31,1,Louisiana
2894,356403661,356403661,jimtuckerforla,1,Louisiana
2895,895362820065247233,895362820065247233,Vote4Cyndi,1,Louisiana
2896,226336356,226336356,JeffThompsonLA,1,Louisiana
2897,1011053278304591872,1011053278304591872,CaptClayHiggins,1,Louisiana
2898,278677461,278677461,ElectSBishop,1,Louisiana
2899,2890120037,2890120037,lahsdems,1,Louisiana
2900,40314279,40314279,CaoForCongress,1,Louisiana
2901,344065458,344065458,ILikeTom2015,1,Louisiana
2902,1080954682019930118,1080954682019930118,collegedemsla,1,Louisiana
2903,2714808338,2714808338,NH4Bobby,1,New Hampshire
2904,19128973,19128973,johnguidroz,1,Louisiana
2905,145525453,145525453,RogerVillere,1,Louisiana
2906,969388083023052800,969388083023052800,ryantrundleCD4,1,Louisiana
2907,330408285,330408285,RobertAdley,1,Louisiana
2908,564009257,564009257,JeffM_TownTalk,1,Louisiana
2909,368581736,368581736,AG_Crowe,1,Louisiana
2910,2774570479,2774570479,Vance4Louisiana,1,Louisiana
2911,339776037,339776037,RichieBurford,1,Louisiana
2912,729676086632656900,729676086632656900,TeamTrump,1,To Be Added
2913,19726613,19726613,SenatorCollins,1,Maine
2914,1139607716941500417,1139607716941500417,SaraGideon,1,Maine
