,domain,id,id_str,party,screen_name,state
7147,1.0,4673844848,4673844848,INC,jaywardhanbissa,Chhattisgarh
7148,1.0,955018771302961155,955018771302961152,BJP,arpitsharmaZee,Uttar Pradesh
7149,1.0,1076526725746622464,1076526725746622464,BJP,Pramodk40550150,Uttar Pradesh
7150,1.0,711509814870847490,711509814870847488,BJP,shakya0121,Uttar Pradesh
7151,1.0,949561337620791296,949561337620791296,BJP,Anand93576542,Uttar Pradesh
7152,1.0,712885479755030528,712885479755030528,BJP,balmikibjp,Uttar Pradesh
7153,1.0,849982126183260160,849982126183260160,BJP,MaD3FtozG8Mzcz8,Uttar Pradesh
7154,1.0,946779447729852416,946779447729852416,BJP,ShyamKasaudhan1,Uttar Pradesh
7155,1.0,732578981392842753,732578981392842752,BJP,kshivam47,Uttar Pradesh
7156,1.0,1050438883161329664,1050438883161329664,BJP,Anurag1_BJYM,Uttar Pradesh
7157,1.0,1328952596,1328952596,BJP,sejwal2anil,Uttar Pradesh
7158,1.0,3306897092,3306897092,INC,stnrnsharma,Chhattisgarh
7159,1.0,3245650668,3245650668,To Be Added,PuneetGuptaBjp,Uttar Pradesh
7160,1.0,1003989273136148480,1003989273136148480,BJP,PrabhuMHugar2,Uttar Pradesh
7161,1.0,985464340269682689,985464340269682688,BJP,JudiyanSahil,Uttar Pradesh
7162,1.0,1039111324129615872,1039111324129615872,BJP,OlaSingh_,Uttar Pradesh
7163,1.0,1058340268275990529,1058340268275990528,To Be Added,atultyagibjp,To Be Added
7164,1.0,2346889201,2346889201,BJP,radheyshyam74,To Be Added
7165,1.0,978337238596530176,978337238596530176,BJP,Mahende21723309,Uttar Pradesh
7166,1.0,947757467341012992,947757467341012992,BJP,Shubham_BJYM,Uttar Pradesh
7167,1.0,1141903748438077440,1141903748438077440,BJP,Mohitpanchalbjp,Uttar Pradesh
7168,1.0,2659108712,2659108712,BJP,subhamrmg,Uttar Pradesh
7169,1.0,912624543625232384,912624543625232384,INC,ChhattisgarhPMC,Chhattisgarh
7170,1.0,768645614003453952,768645614003453952,BJP,Abhishe10774561,To Be Added
7171,1.0,3249839540,3249839540,BJP,virendrayadavbj,Uttar Pradesh
7172,1.0,890120671740776450,890120671740776448,BJP,Raghven79041946,Uttar Pradesh
7173,1.0,863821527606738944,863821527606738944,BJP,BdSunghal,Uttar Pradesh
7174,1.0,957092361305169921,957092361305169920,BJP,RoyAbvp,Uttar Pradesh
7175,1.0,915742486676561922,915742486676561920,BJP,krishnupmanyu,Uttar Pradesh
7176,1.0,917725775012306944,917725775012306944,BJP,Architk12345,Uttar Pradesh
7177,1.0,933659692751921152,933659692751921152,BJP,AchalMi18082613,Uttar Pradesh
7178,1.0,2368752607,2368752607,BJP,shivkum71689358,Uttar Pradesh
7179,1.0,997470867213840384,997470867213840384,BJP,Prakash28892231,Uttar Pradesh
7180,1.0,716595425214468096,716595425214468096,INC,ArunVoraMLA,Chhattisgarh
7181,1.0,2533132045,2533132045,BJP,NirmalRichas,Uttar Pradesh
7182,1.0,878120420066676737,878120420066676736,BJP,bjpashutoshji,Uttar Pradesh
7183,1.0,905818197764407296,905818197764407296,BJP,AmreshTripath11,Uttar Pradesh
7184,1.0,1106504356747079680,1106504356747079680,BJP,UmeshSi72325613,Uttar Pradesh
7185,1.0,2168728634,2168728634,BJP,BJPAyodhya,Uttar Pradesh
7186,1.0,1024484474812170241,1024484474812170240,BJP,NitinGu71258125,Uttar Pradesh
7187,1.0,3283250370,3283250370,BJP,SURYHAS,Uttar Pradesh
7188,1.0,2569992123,2569992123,BJP,NishankGarg4,Uttar Pradesh
7189,1.0,1019463031149899777,1019463031149899776,BJP,Shribhagawanpa4,Uttar Pradesh
7190,1.0,1042990403136282624,1042990403136282624,BJP,Mohitnotiyal6,Uttar Pradesh
7191,1.0,2498916144,2498916144,INC,girish_dewangan,Chhattisgarh
7192,1.0,2985770285,2985770285,BJP,bjp_kudari,Uttar Pradesh
7193,1.0,746040569500033024,746040569500033024,BJP,kunwar1524,Uttar Pradesh
7194,1.0,2168715074,2168715074,BJP,BJPMehnaum,Uttar Pradesh
7195,1.0,982508254491062272,982508254491062272,BJP,RamsantS,Uttar Pradesh
7196,1.0,2868479518,2868479518,BJP,kumartripathir1,Uttar Pradesh
7197,1.0,942770514787012608,942770514787012608,BJP,ANUPAMG40860965,Uttar Pradesh
7198,1.0,2168722531,2168722531,BJP,BJPTarabganj,Uttar Pradesh
7199,1.0,1029556778449625088,1029556778449625088,BJP,Harshitdeval6,Uttar Pradesh
7200,1.0,878156809424445440,878156809424445440,BJP,kunwarsyediqbal,Uttar Pradesh
7201,1.0,782167592429621248,782167592429621248,BJP,shiv_kumarbjp,Uttar Pradesh
7202,1.0,3187656482,3187656482,INC,Dhananjay_INC,Chhattisgarh
7203,1.0,1026387775782825984,1026387775782825984,BJP,Siddhan99212210,Uttar Pradesh
7204,1.0,1185374394509447168,1185374394509447168,To Be Added,shubhamkaushikk,Uttar Pradesh
7205,1.0,1112896402722619393,1112896402722619392,BJP,RampurAbvp,Uttar Pradesh
7206,1.0,1079291296718700544,1079291296718700544,BJP,ManojMadeshiya1,Uttar Pradesh
7207,1.0,996307585241374720,996307585241374720,BJP,ParashuramShuk1,Uttar Pradesh
7208,1.0,1102028516994965505,1102028516994965504,BJP,IshanAg04698242,Uttar Pradesh
7209,1.0,995995732070019073,995995732070019072,BJP,MenganeSujay,Uttar Pradesh
7210,1.0,2356421982,2356421982,BJP,raghuvaranbjp,Uttar Pradesh
7211,1.0,1241953317745340417,1241953317745340416,BJP,NitishOficial,To Be Added
7212,1.0,1098761712616890368,1098761712616890368,BJP,SunilKu50334320,Uttar Pradesh
7213,1.0,2704098606,2704098606,INC,Nilesh0771,Chhattisgarh
7214,1.0,895683844195500033,895683844195500032,BJP,RahulDubeyRD9,Uttar Pradesh
7215,1.0,4093450634,4093450634,BPP,gskhillavari,Uttar Pradesh
7216,1.0,961878492827680768,961878492827680768,BSCP,Abhinay50665728,Uttar Pradesh
7217,1.0,1048510162527559680,1048510162527559680,BSP,Mayawati,Uttar Pradesh
