,id,id_str,screen_name,confirmed_politician,state
5444,875180372656508928,875180372656508928,KellyForUs,1,Minnesota
5445,172404202,172404202,RenaforRep,1,Minnesota
5446,35305446,35305446,terrymorrow22,1,Minnesota
5447,2997232856,2997232856,JasonRarick,1,Minnesota
5448,1209984698224525314,1209984698224525312,severson,1,To Be Added
5449,3486119113,3486119113,AndrewMathewsMN,1,Minnesota
5450,23613962,23613962,dcrchamber,1,Minnesota
5451,499072725,499072725,NelsTPierson,1,Minnesota
5452,97803194,97803194,chipcravaack,1,Minnesota
5453,490006745,490006745,GenePelowski,1,Minnesota
5454,196001152,196001152,spanojake,1,Minnesota
5455,988135719951626240,988135719951626240,Morrison4MN,1,Minnesota
5456,1262275046,1262275046,RepJerryHertaus,1,Minnesota
5457,129883796,129883796,RepBobDettmer,1,Minnesota
5458,822572084987592707,822572084987592704,SenatorDraheim,1,Minnesota
5459,105421856,105421856,RightChangeNow,1,Minnesota
5460,78615024,78615024,RandyWGilbert,1,Minnesota
5461,822201755995897859,822201755995897856,SenatorEichorn,1,Minnesota
5462,2533374678,2533374678,PeggyABennett,1,Minnesota
5463,4809362352,4809362352,SenatorJasinski,1,Minnesota
5464,903986745338978304,903986745338978304,HCantrellMN,1,Minnesota
5465,831517301312733184,831517301312733184,IndivisibleMNLo,1,Minnesota
5466,818545818743570436,818545818743570432,JulieSandstede,1,Minnesota
5467,932436667088146432,932436667088146432,RepJayXiong,1,Minnesota
5468,21870492,21870492,IndyMN,1,Minnesota
5469,937184364596666368,937184364596666368,BlahaForAuditor,1,Minnesota
5470,164555798,164555798,jenshillingwi,1,Wisconsin
5471,866025587017744384,866025587017744384,RobEcklund,1,Minnesota
5472,121275320,121275320,RepJohnsonMN,1,Minnesota
5473,747597847525154816,747597847525154816,GinnyKlevorn,1,Minnesota
5474,108027128,108027128,anneneu,1,Minnesota
5475,42761057,42761057,MaureenKReed,1,Minnesota
5476,38376176,38376176,SenatorColeman,1,Minnesota
5477,376866793,376866793,KevinDahle,1,Minnesota
5478,3311728022,3311728022,SenatorGoggin,1,Minnesota
5479,32157077,32157077,mohamudnoor,1,Minnesota
5480,1444181970,1444181970,sen_inge,1,Minnesota
5481,2512716446,2512716446,SenatorNewmanMN,1,Minnesota
5482,992207712418181120,992207712418181120,JenZ4MN,1,Minnesota
5483,89772618,89772618,ryanmcdougle,1,Virginia
5484,87724293,87724293,MGreiling,1,Minnesota
5485,56243144,56243144,renamoran,1,Minnesota
5486,1151806141,1151806141,MarkForMpls,1,Minnesota
5487,508340198,508340198,DFL48,1,Minnesota
5488,38498495,38498495,ErinKoegel,1,Minnesota
5489,60721726,60721726,TomRukavina,1,Minnesota
5490,1388316751,1388316751,VoteShaughnessy,1,Pennsylvania
5491,1923663264,1923663264,JeniferLoon,1,Minnesota
5492,18124167,18124167,MNCD5GOP,1,Minnesota
5493,1070390359044304897,1070390359044304896,KaohlyVangHer,1,Minnesota
5494,741020304852455425,741020304852455424,SenatorRelph,1,Minnesota
5495,829692260,829692260,MNActionNetwork,1,Minnesota
5496,126456854,126456854,anne_claflin,1,Minnesota
5497,793878654438682624,793878654438682624,AlexMNHSD,1,Minnesota
5498,957734718576971776,957734718576971776,carlieforhouse,1,Minnesota
5499,2366496019,2366496019,JoshHeintzeman,1,Minnesota
5500,251744460,251744460,DavidJOsmek,1,Minnesota
5501,227341953,227341953,RepHowardBerman,1,California
5502,547724068,547724068,ObermuellerMike,1,Minnesota
5503,905161196139110400,905161196139110400,KristinBahnerMN,1,Minnesota
5504,874705349273681925,874705349273681920,shellyforhouse,1,Minnesota
5505,1483868034,1483868034,DaiThao1,1,Minnesota
5506,1212552470796234752,1212552470796234752,BrandforHouse,1,Minnesota
5507,823651107654275080,823651107654275072,SenatorWeber,1,Minnesota
5508,335513308,335513308,SenWarrenLimmer,1,Minnesota
5509,145085728,145085728,KathySaltzman,1,Minnesota
5510,911594246,911594246,tslippert,1,Minnesota
5511,1012340116872888320,1012340116872888320,RobertBiermanMN,1,Minnesota
5512,2505831523,2505831523,BobVogelMNHouse,1,Minnesota
5513,18075756,18075756,SD45,1,Minnesota
5514,906987785617362945,906987785617362944,kimmelforhouse,1,Minnesota
5515,831674406430769153,831674406430769152,SenatorLangMN,1,Minnesota
5516,55901725,55901725,sheldonanderson,1,Minnesota
5517,836623463230156800,836623463230156800,RepCarlson,1,Minnesota
5518,72737936,72737936,Kline4Congress,1,Minnesota
5519,1198440361,1198440361,RepTheis,1,Minnesota
5520,233719050,233719050,mnsenate,1,Minnesota
5521,849033121294983168,849033121294983168,JoshButnerCA50,1,California
5522,229965937,229965937,RepAndrewFalk,1,Minnesota
5523,188044343,188044343,joeschomacker,1,Minnesota
5524,285857588,285857588,AndrewCarlsonMN,1,Minnesota
5525,2833459852,2833459852,JKSullivanMN,1,Minnesota
5526,20151968,20151968,sendavidthomas,1,South Carolina
5527,970682581330153473,970682581330153472,TouXiongMN53A,1,Minnesota
5528,124328235,124328235,TedDaleyMN,1,Minnesota
5529,156738905,156738905,PaulRosenthalMN,1,Minnesota
5530,817141899341561856,817141899341561856,RepLindaSlocum,1,Minnesota
5531,490798761,490798761,Morgan4StateRep,1,Minnesota
5532,1445429432,1445429432,TorreyWestrom,1,Minnesota
5533,974388989078724608,974388989078724608,SteveSandell53b,1,Minnesota
5534,2616925340,2616925340,AsurasStar,1,Minnesota
5535,1137225523,1137225523,StephenRubis,1,Minnesota
