,id,id_str,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
3867,146423284,146423284,fran_millar,1,Georgia,Fran Millar,,,,,,,,,2021-04-20
3868,459760752,459760752,gasenatedems,1,Georgia,GA Senate Democrats,,,,,,,,,2021-04-20
3869,1434486529,1434486529,dekalbgadems,1,Georgia,DeKalb Democrats,,,,,,,,,2021-04-20
3870,14295496,14295496,bobbarr,1,Georgia,Bob Barr,,,,,,,,,2021-04-20
3871,2317842607,2317842607,fortforatlanta,1,Georgia,Vincent Fort,,,,,,,,,2021-04-20
3872,4228837518,4228837518,cannonfor58,1,Georgia,Representative Park Cannon,,,,,,,,,2021-04-20
3873,285171880,285171880,repbenwatson,1,Georgia,Ben Watson,,,,,,,,,2021-04-20
3874,49782398,49782398,curt_thompson,1,Georgia,Curt Thompson,,,,,,,,,2021-04-20
3875,836023764936699904,836023764936699904,christineforga,1,Georgia,Christine Triebsch,,,,,,,,,2021-04-20
3876,2358524952,2358524952,robbinshipp,1,Georgia,Robbin Shipp,,,,,,,,,2021-04-20
3877,720737029743509504,720737029743509504,samforgeorgia,1,Georgia,Sam Park,,,,,,,,,2021-04-20
3878,809056123768729600,809056123768729600,sallyharrellga,1,Georgia,Sally Harrell GA SD-40,,,,,,,,,2021-04-20
3879,989172318,989172318,mmo_mary,1,Georgia,Mary Margaret Oliver,,,,,,,,,2021-04-20
3880,1527797431,1527797431,davidforgeorgia,1,Georgia,David Pennington,,,,,,,,,2021-04-20
3881,33573892,33573892,patgardner,1,Georgia,Pat Gardner,,,,,,,,,2021-04-20
3882,457765321,457765321,electmabra,1,Georgia,Ronnie Mabra,,,,,,,,,2021-04-20
3883,154116953,154116953,james_mills_ga,1,Georgia,James Mills,,,,,,,,,2021-04-20
3884,18168068,18168068,ugacrs,1,Georgia,College Republicans at UGA,,,,,,,,,2021-04-20
3885,38720882,38720882,cobbgop,1,Georgia,Cobb County GOP,,,,,,,,,2021-04-20
3886,1222502295809810434,1222502295809810434,douglas_collins,1,Georgia,douglas collins forgot to grab this handle,,,,,,,,,2021-04-20
3887,7433632,7433632,ddreyer,1,Georgia,David Dreyer,,,,,,,,,2021-04-20
3888,451080147,451080147,reptreykelley,1,Georgia,Trey Kelley,,,,,,,,,2021-04-20
3889,226070865,226070865,fultondems,1,Georgia,Fulton Democrats,,,,,,,,,2021-04-20
3890,1726021093,1726021093,dpgchair,1,Georgia,Nikema Williams,,,,,,,,,2021-04-20
3891,73158647,73158647,healthyfuturega,1,Georgia,GHF,,,,,,,,,2021-04-20
3892,1089418225,1089418225,the_rlga,1,National,Republican Lieutenant Governors Association,,,,,,,,,2021-04-20
3893,357054964,357054964,sengloriabutler,1,Georgia,Gloria S Butler,,,,,,,,,2021-04-20
3894,360194102,360194102,karladrenner,1,Georgia,Karla Drenner,,,,,,,,,2021-04-20
3895,31191969,31191969,austinscott4ga,1,Georgia,Austin Scott,,,,,,,,,2021-04-20
3896,96843931,96843931,jeffchapmanga1,1,Georgia,Jeff Chapman,,,,,,,,,2021-04-20
3897,141239164,141239164,beachforga,1,Georgia,Brandon Beach,,,,,,,,,2021-04-20
3898,285159912,285159912,votereagan,1,Arizona,Michele Reagan,,,,,,,,,2021-04-20
3899,103884565,103884565,fultongop,1,Georgia,Fulton GOP,,,,,,,,,2021-04-20
3900,55815964,55815964,gwinnettgop,1,Georgia,Gwinnett GOP,,,,,,,,,2021-04-20
3901,240303484,240303484,gwinnettdems,1,Georgia,Gwinnett Democrats,,,,,,,,,2021-04-20
3902,1114485228,1114485228,senatorchance,1,Georgia,Ronnie Chance,,,,,,,,,2021-04-20
3903,108694774,108694774,youngdemsuga,1,Georgia,Young Democrats of UGA,,,,,,,,,2021-04-20
3904,91328704,91328704,spencerfrye,1,Georgia,Spencer Frye,,,,,,,,,2021-04-20
3905,121499115,121499115,margaretdkaiser,1,Georgia,Margaret Kaiser,,,,,,,,,2021-04-20
3906,357049990,357049990,valenciaseay,1,Georgia,Valencia Seay,,,,,,,,,2021-04-20
3907,403849573,403849573,unitebluega,1,Georgia,UniteBlue Georgia,,,,,,,,,2021-04-20
3908,298882893,298882893,repsheilajones,1,Georgia,"Rep Sheila Jones, GA",,,,,,,,,2021-04-20
3909,995700006,995700006,jessszilagyiaog,1,Georgia,,,,,,,,,,2021-04-20
3910,127635993,127635993,cherokeegop,1,Georgia,Cherokee County GOP,,,,,,,,,2021-04-20
3911,116582145,116582145,rickjasperse,1,Georgia,Rick Jasperse,,,,,,,,,2021-04-20
3912,1710336158,1710336158,reprogerbruce61,1,Georgia,StateRep Roger Bruce,,,,,,,,,2021-04-20
3913,193070719,193070719,athensga_gop,1,Georgia,"Athens, GA GOP",,,,,,,,,2021-04-20
3914,2168988270,2168988270,senstevehenson,1,Georgia,Steve Henson,,,,,,,,,2021-04-20
3915,135495218,135495218,suegagop,1,Georgia,Sue Everhart,,,,,,,,,2021-04-20
3916,925314427,925314427,bradhalbrook,1,Georgia,Brad Halbrook,,,,,,,,,2021-04-20
3917,1580020280,1580020280,gacollegedems,1,Georgia,College Democrats of Georgia,,,,,,,,,2021-04-20
3918,911270414759923714,911270414759923714,wallacefor119,1,Georgia,Jonathan Wallace,,,,,,,,,2021-04-20
3919,2976753027,2976753027,senharoldjones,1,Georgia,Senator Harold Jones,,,,,,,,,2021-04-20
3920,402147539,402147539,wisdoj,1,Wisconsin,Attorney General Josh Kaul,,,,,,,,,2021-04-20
3921,479573215,479573215,mandiballinger,1,Georgia,Mandi Ballinger,,,,,,,,,2021-04-20
3922,186294003,186294003,galatinocaucus,1,Georgia,DPG Latino Caucus,,,,,,,,,2021-04-20
3923,1283433110,1283433110,philgingreymd,1,Georgia,Phil Gingrey,,,,,,,,,2021-04-20
3924,126428907,126428907,linda_carsten,1,Georgia,Linda Carsten,,,,,,,,,2021-04-20
3925,487840329,487840329,horacenatate,1,Georgia,Sen. Horacena Tate,,,,,,,,,2021-04-20
3926,65479640,65479640,floydgop,1,Georgia,Floyd County GOP,,,,,,,,,2021-04-20
